,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat
336,672.6970993,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,80,2,2.144215962,0.325173725,96.85172727,6.936106674,149.0556736,3.563283831,16.36823,48.22747
337,319.0519599,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,9,94,2,1.851122275,0.576176876,105.4066703,7.548775123,163.063351,3.898147505,16.38504,48.22334
338,81.34071944,Private room,FALSE,TRUE,2,FALSE,1,0,10,94,1,7.23236786,0.697321774,34.11217975,2.442968487,50.07937768,1.197183793,16.45176,48.24738
339,240.2823551,Entire home/apt,FALSE,FALSE,6,FALSE,0,0,9,92,3,2.838983295,0.713855929,101.7352654,7.285844797,138.949802,3.32169565,16.36548,48.18358
340,387.5371059,Entire home/apt,FALSE,FALSE,6,TRUE,0,1,10,96,2,2.344488582,0.102505373,96.40260629,6.90394255,139.8107457,3.342277133,16.401,48.198
341,160.1103242,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,10,93,1,6.573411962,1.306543579,37.44151535,2.68140127,54.82121247,1.310540788,16.39146,48.26645
342,172.73216,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,9,93,1,2.963613383,0.92186328,73.80942751,5.285915669,110.6472797,2.645103357,16.39009,48.23282
343,158.9416357,Private room,FALSE,TRUE,2,FALSE,1,0,10,96,1,4.151946831,0.884372559,66.17708283,4.739319771,86.48173274,2.067408455,16.39197,48.17324
344,185.5877334,Private room,FALSE,TRUE,4,FALSE,1,0,9,95,1,1.176405595,0.194618699,140.6540907,10.07304469,236.4333631,5.65211078,16.3821,48.21748
345,119.4399645,Entire home/apt,FALSE,FALSE,3,FALSE,0,0,9,93,1,4.554867597,0.397359936,97.52371386,6.984231482,94.72175345,2.264392118,16.3149,48.19687
346,189.795012,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,9,94,1,1.64872267,0.316380343,166.8556347,11.94948726,251.7476672,6.018210312,16.35219,48.21227
347,270.2007807,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,80,1,1.581722717,0.315253899,116.4924293,8.342689791,185.6865807,4.438972194,16.38125,48.22182
348,301.5216324,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,9,93,1,1.335608077,0.533644259,150.3313494,10.76608859,217.1309437,5.190672467,16.3916,48.20777
349,202.8843232,Entire home/apt,FALSE,FALSE,3,FALSE,0,0,8,88,1,2.21389068,0.233399751,102.9529986,7.373053648,151.3403647,3.617901026,16.39762,48.19669
350,104.4807517,Private room,FALSE,TRUE,2,FALSE,0,0,10,98,1,2.34684844,0.650970782,123.0383805,8.811482834,180.1250984,4.306020932,16.36151,48.18904
